batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five_overs_runs,runs_x
West Indies,Sri Lanka,Colombo,72,38,8,5.2682926829268295,45.0,137
New Zealand,England,Manchester,119,3,2,6.102564102564102,40.0,123
West Indies,Pakistan,Barbados,104,7,3,5.522123893805309,44.0,111
West Indies,New Zealand,Auckland,32,74,8,4.173913043478261,19.0,126
Pakistan,New Zealand,Mount Maunganui,166,5,4,8.660869565217391,56.0,181
India,Australia,Melbourne,20,97,6,5.217391304347826,20.0,74
South Africa,Australia,Centurion,116,6,3,6.105263157894737,35.0,128
India,England,Bangalore,142,23,7,8.783505154639176,58.0,202
Bangladesh,Pakistan,Cape Town,36,91,9,7.448275862068965,30.0,140
Australia,England,Barbados,24,84,7,4.0,18.0,147
India,New Zealand,Hamilton,15,109,10,8.181818181818182,15.0,179
New Zealand,South Africa,Durban,0,119,10,0.0,0.0,86
England,South Africa,Johannesburg,9,106,10,3.857142857142857,9.0,171
South Africa,Pakistan,Johannesburg,16,97,10,4.173913043478261,16.0,188
Sri Lanka,Pakistan,Abu Dhabi,46,76,8,6.2727272727272725,24.0,102
New Zealand,South Africa,Durban,139,9,2,7.513513513513513,42.0,153
Sri Lanka,Australia,Colombo,49,80,8,7.35,40.0,128
Pakistan,England,Barbados,123,9,3,6.648648648648648,26.0,147
New Zealand,South Africa,Durban,62,43,2,4.8311688311688314,26.0,86
South Africa,Pakistan,Johannesburg,134,11,4,7.376146788990826,35.0,153
Bangladesh,Sri Lanka,Chittagong,101,17,3,5.883495145631068,31.0,120
Australia,Sri Lanka,Melbourne,116,30,8,7.733333333333333,41.0,168
South Africa,New Zealand,Chittagong,62,59,7,6.098360655737705,28.0,170
Sri Lanka,England,Southampton,129,28,4,8.41304347826087,39.0,163
South Africa,India,Johannesburg,108,48,9,9.0,43.0,219
India,Australia,Melbourne,74,16,1,4.269230769230769,24.0,74
New Zealand,Australia,Auckland,156,42,8,12.0,72.0,243
South Africa,Australia,Centurion,96,25,4,6.063157894736842,28.0,128
South Africa,India,Nottingham,57,72,9,7.125,30.0,130
New Zealand,South Africa,Johannesburg,125,3,3,6.410256410256411,40.0,129
New Zealand,West Indies,Auckland,101,48,7,8.416666666666666,43.0,189
South Africa,Afghanistan,Mumbai,129,32,7,8.795454545454545,39.0,209
Sri Lanka,New Zealand,Chittagong,98,18,3,5.764705882352941,25.0,119
Australia,West Indies,Barbados,65,77,9,9.069767441860465,39.0,97
South Africa,Bangladesh,Johannesburg,95,54,6,8.636363636363637,33.0,118
India,Pakistan,Johannesburg,39,91,9,8.068965517241379,37.0,157
Sri Lanka,Australia,Pallekele,105,36,7,7.5,35.0,198
South Africa,New Zealand,London,63,50,7,5.4,15.0,128
Australia,New Zealand,Sydney,23,105,10,9.2,23.0,150
Sri Lanka,England,St Lucia,85,31,6,5.730337078651686,31.0,128
India,Australia,Adelaide,72,70,8,8.64,37.0,188
South Africa,England,Cape Town,1,119,10,6.0,1.0,191
New Zealand,Sri Lanka,Wellington,131,31,6,8.831460674157304,30.0,162
Sri Lanka,Bangladesh,Johannesburg,4,119,10,24.0,4.0,147
New Zealand,Pakistan,Dubai,139,2,2,7.067796610169491,46.0,144
Pakistan,New Zealand,Hamilton,49,72,8,6.125,23.0,168
New Zealand,India,Wellington,214,2,4,10.88135593220339,50.0,219
England,South Africa,Cardiff,168,11,5,9.247706422018348,41.0,181
South Africa,India,Chandigarh,98,41,7,7.443037974683544,42.0,149
Pakistan,New Zealand,Wellington,37,69,6,4.352941176470588,25.0,105
Afghanistan,West Indies,St Kitts,86,36,7,6.142857142857143,27.0,146
Sri Lanka,Pakistan,Lahore,111,43,8,8.64935064935065,44.0,182
India,Pakistan,Bangalore,72,65,10,7.8545454545454545,46.0,133
Pakistan,South Africa,Dubai,11,100,7,3.3,11.0,98
South Africa,New Zealand,Chittagong,168,1,4,8.470588235294118,69.0,170
New Zealand,Sri Lanka,Auckland,53,62,6,5.482758620689655,24.0,179
England,South Africa,Barbados,161,4,4,8.327586206896552,37.0,168
India,Sri Lanka,Mirpur,48,70,9,5.76,35.0,130
Pakistan,England,Dubai,46,88,9,8.625,39.0,144
Bangladesh,Sri Lanka,Colombo,73,79,9,10.682926829268293,56.0,176
Bangladesh,India,Colombo,27,93,9,6.0,27.0,139
Sri Lanka,Pakistan,Abu Dhabi,41,87,10,7.454545454545454,40.0,124
Pakistan,New Zealand,Mount Maunganui,66,67,9,7.471698113207547,36.0,181
Australia,India,Melbourne,10,107,9,4.615384615384615,10.0,132
Pakistan,South Africa,Centurion,69,75,9,9.2,48.0,195
New Zealand,India,Hamilton,103,58,9,9.96774193548387,50.0,212
West Indies,India,Lauderhill,36,99,10,10.285714285714286,36.0,245
Australia,India,Chandigarh,73,71,8,8.938775510204081,35.0,160
Sri Lanka,Pakistan,Mirpur,63,65,10,6.872727272727273,43.0,150
Sri Lanka,New Zealand,Chittagong,35,86,8,6.176470588235294,23.0,119
Sri Lanka,Pakistan,Lahore,25,102,10,8.333333333333334,25.0,165
South Africa,India,Johannesburg,172,14,7,9.735849056603774,58.0,219
New Zealand,Australia,Auckland,47,95,10,11.28,47.0,150
South Africa,West Indies,Durban,195,0,7,9.669421487603305,64.0,195
England,South Africa,Nottingham,95,21,2,5.757575757575758,24.0,111
Australia,South Africa,Johannesburg,94,33,5,6.482758620689655,23.0,166
India,Pakistan,Johannesburg,151,4,5,7.810344827586207,42.0,157
South Africa,Australia,Colombo,118,11,5,6.495412844036697,36.0,146
Australia,South Africa,Melbourne,51,92,9,10.928571428571429,51.0,182
Australia,England,Manchester,48,77,9,6.6976744186046515,35.0,145
New Zealand,England,Christchurch,51,75,8,6.8,45.0,153
South Africa,England,Mumbai,185,15,6,10.571428571428571,47.0,229
Pakistan,Australia,Sydney,75,49,7,6.338028169014085,32.0,107
Australia,England,Adelaide,127,21,7,7.696969696969697,33.0,157
Bangladesh,West Indies,St Kitts,2,118,10,6.0,2.0,31
Pakistan,India,Mirpur,73,50,7,6.257142857142857,36.0,130
India,South Africa,Cape Town,47,89,9,9.096774193548388,43.0,172
Bangladesh,Sri Lanka,Colombo,19,107,9,8.76923076923077,19.0,155
England,New Zealand,Auckland,203,2,3,10.322033898305085,38.0,214
West Indies,Australia,Barbados,100,66,8,11.11111111111111,57.0,160
Australia,England,Barbados,70,44,6,5.526315789473684,33.0,147
South Africa,New Zealand,Barbados,125,23,7,7.731958762886598,54.0,170
Sri Lanka,India,Mumbai,72,51,6,6.260869565217392,29.0,135
England,Australia,Melbourne,102,20,6,6.12,31.0,137
India,New Zealand,Wellington,22,105,9,8.8,22.0,165
Australia,West Indies,Barbados,27,101,10,8.526315789473685,27.0,97
New Zealand,Sri Lanka,Pallekele,92,36,6,6.571428571428571,37.0,142
South Africa,Australia,Melbourne,71,32,6,4.840909090909091,20.0,101
Bangladesh,Australia,Bangalore,112,18,5,6.588235294117647,32.0,156
Australia,India,Mumbai,73,67,8,8.264150943396226,38.0,166
West Indies,Bangladesh,Mirpur,98,47,8,8.054794520547945,54.0,171
Pakistan,New Zealand,Auckland,96,57,8,9.142857142857142,44.0,201
